BABA.K,BABA
DQ,DQ
IAA,IAA
ALV,ALV
WSO,WSO
CSL,CSL
FHN,FHN
ACM,ACM
MBT,MBT
JNPR.K,JNPR
EV,EV
RNR,RNR
NLSN.K,NLSN
VER,VER
LEVI.K,LEVI
AIZ,AIZ
SID,SID
JLL,JLL
GPS,GPS
DCI,DCI
PSO,PSO
RS,RS
RHI,RHI
ACI,ACI
NVTA.K,NVTA
G,G
ARW,ARW
RL,RL
UGI,UGI
EBR,EBR
COLD.K,COLD
HST,HST
QTWO.K,QTWO
SITE.K,SITE
WAL,WAL
COG,COG
USFD.K,USFD
LPL,LPL
ADT,ADT
SC,SC
NCLH.K,NCLH
VNO,VNO
VOYA.K,VOYA
PII,PII
RGA,RGA
SSL,SSL
KIM,KIM
NNN,NNN
H,H
HLF,HLF
CLR,CLR
GRUB.K,GRUB
CUBE.K,CUBE
BLD,BLD
CAE,CAE
KNX,KNX
BERY.K,BERY
KSS,KSS
ICL,ICL
OMF,OMF
BC,BC
PSTG.K,PSTG
HEI,HEI
ITT,ITT
PFGC.K,PFGC
SEE,SEE
TRGP.K,TRGP
REXR.K,REXR
RBA,RBA
TPL,TPL
TFII.K,TFII
KRC,KRC
VRT,VRT
HAE,HAE
FRT,FRT
JBL,JBL
DXC,DXC
THO,THO
PHI,PHI
BB,BB
AN,AN
AXTA.K,AXTA
AZEK.K,AZEK
HII,HII
PTR,PTR
TOL,TOL
TMX,TMX
OSK,OSK
CPRI.K,CPRI
SQM,SQM
WES,WES
BE,BE
PLNT.K,PLNT
PB,PB
HTA,HTA
ORA,ORA
HRC,HRC
DKS,DKS
GME,GME
ALK,ALK
OGE,OGE
POST.K,POST
CLGX.K,CLGX
EBS,EBS
GMED.K,GMED
MSA,MSA
TIMB.K,TIMB
NEP,NEP
LSI,LSI
JEF,JEF
HESM.K,HESM
PVH,PVH
MDLA.K,MDLA
CACI.K,CACI
CLF,CLF
WMS,WMS
HUN,HUN
FAF,FAF
TKR,TKR
AIRC.K,AIRC
MTZ,MTZ
HUYA.K,HUYA
SON,SON
WF,WF
CFR,CFR
BJ,BJ
TPX,TPX
ASAN.K,ASAN
COR,COR
PRLB.K,PRLB
YETI.K,YETI
MRO,MRO
NVST.K,NVST
NVRO.K,NVRO
SNV,SNV
WFC_pl,WFC$L
PRGO.K,PRGO
ACC,ACC
JHG,JHG
PSTH.K,PSTH
INSP.K,INSP
ORI,ORI
EGP,EGP
VNT,VNT
FOUR.K,FOUR
CHH,CHH
BBU,BBU
LEG,LEG
PRI,PRI
PSXP.K,PSXP
STWD.K,STWD
WH,WH
DM,DM
FR,FR
VAC,VAC
SF,SF
SAIC.K,SAIC
SKX,SKX
JWN,JWN
CCJ,CCJ
MDU,MDU
SBS,SBS
EVR,EVR
RAMP.K,RAMP
SAIL.K,SAIL
TX,TX
BYD,BYD
BWXT.K,BWXT
KT,KT
HBI,HBI
AER,AER
CLDR.K,CLDR
RBC,RBC
ELC,ELC
ENIC.K,ENIC
THC,THC
ORCC.K,ORCC
TNET.K,TNET
MPLN.K,MPLN
ASH,ASH
SWI,SWI
BRX,BRX
COTY.K,COTY
HOG,HOG
BHVN.K,BHVN
AMG,AMG
EME,EME
GIL,GIL
INGR.K,INGR
PAC,PAC
ASR,ASR
NOV,NOV
MAN,MAN
JMIA.K,JMIA
GTLS.K,GTLS
STZb,STZ.B
STAG.K,STAG
TKC,TKC
PAG,PAG
ESNT.K,ESNT
KWR,KWR
NYCB.K,NYCB
MP,MP
NEWR.K,NEWR
IIPR.K,IIPR
DEI,DEI
UNM,UNM
EXP,EXP
HHC,HHC
GGB,GGB
DDD,DDD
WK,WK
RXN,RXN
CUZ,CUZ
FTI,FTI
FLO,FLO
FLS,FLS
AL,AL
FL,FL
HASI.K,HASI
MMS,MMS
PRSP.K,PRSP
ALSN.K,ALSN
UGP,UGP
CR,CR
LAZ,LAZ
AUY,AUY
HLI,HLI
ASGN.K,ASGN
CW,CW
DAVA.K,DAVA
HFC,HFC
NCR,NCR
EQT,EQT
PFSI.K,PFSI
KMPR.K,KMPR
XEC,XEC
SWCH.K,SWCH
BAC_pl,BAC$L
NOMD.K,NOMD
XRX,XRX
VVV,VVV
SLG,SLG
MSM,MSM
CFX,CFX
NOVA.K,NOVA
SHAK.K,SHAK
TV,TV
RLI,RLI
ENV,ENV
CLH,CLH
IDA,IDA
WWE,WWE
NEU,NEU
NAV,NAV
GPK,GPK
SNX,SNX
LPX,LPX
ESI,ESI
STN,STN
VMI,VMI
OVV,OVV
CC,CC
WBS,WBS
PD,PD
KBR,KBR
SRC,SRC
RYN,RYN
DCP,DCP
AYI,AYI
QTS,QTS
RSI,RSI
M,M
GTES.K,GTES
THG,THG
YALA.K,YALA
WTS,WTS
OLN,OLN
NEA,NEA
ARD,ARD
HR,HR
SSD,SSD
PNM,PNM
UNF,UNF
SHLX.K,SHLX
WFG,WFG
CIB,CIB
GKOS.K,GKOS
UAA,UAA
WCC,WCC
NRZ,NRZ
FSR,FSR
MSGS.K,MSGS
ADC,ADC
SAFE.K,SAFE
JBGS.K,JBGS
PK,PK
CZZ,CZZ
CBD,CBD
TRNO.K,TRNO
AJRD.K,AJRD
BXMT.K,BXMT
WYND.K,WYND
MTG,MTG
MSP,MSP
GRA,GRA
APAM.K,APAM
HIW,HIW
SPR,SPR
CRI,CRI
CWEN.K,CWEN
FCN,FCN
DAO,DAO
HXL,HXL
OGS,OGS
POR,POR
CIT,CIT
AXS,AXS
X,X
NVT,NVT
PSB,PSB
SNDR.K,SNDR
AWI,AWI
VVNT.K,VVNT
GOOS.K,GOOS
AEO,AEO
BKH,BKH
JBT,JBT
DOC,DOC
RDN,RDN
KBH,KBH
DNMR.K,DNMR
STL,STL
EGHT.K,EGHT
NFG,NFG
AVNT.K,AVNT
CNNE.K,CNNE
RHP,RHP
AG,AG
UA,UA
ENS,ENS
PSN,PSN
AM,AM
HE,HE
MUSA.K,MUSA
REZI.K,REZI
SEM,SEM
IFS,IFS
WNS,WNS
NVG,NVG
HIMS.K,HIMS
SLQT.K,SLQT
TGNA.K,TGNA
HPP,HPP
CBU,CBU
MDC,MDC
AA,AA
AB,AB
BCO,BCO
TMHC.K,TMHC
IGT,IGT
GRP_u,GRP.U
R,R
IBP,IBP
EQC,EQC
AMN,AMN
ADS,ADS
NJR,NJR
SWX,SWX
LCII.K,LCII
APG,APG
KEX,KEX
HRB,HRB
CMD,CMD
PRG,PRG
BKU,BKU
SPB,SPB
CPA,CPA
BSMX.K,BSMX
MAX,MAX
BRFS.K,BRFS
WTM,WTM
ALE,ALE
MC,MC
CWK,CWK
VSH,VSH
TRN,TRN
TRTN.K,TRTN
FNB,FNB
UNVR.K,UNVR
SOGO.K,SOGO
HI,HI
FUBO.K,FUBO
ADNT.K,ADNT
SR,SR
CNMD.K,CNMD
BMEZ.K,BMEZ
NAD,NAD
GATX.K,GATX
CNS,CNS
BOH,BOH
GOLF.K,GOLF
ENR,ENR
CWH,CWH
SXT,SXT
DNP,DNP
AQUA.K,AQUA
CCU,CCU
MTH,MTH
HL,HL
PCI,PCI
ROG,ROG
AGI,AGI
FN,FN
NSP,NSP
SIX,SIX
ETRN.K,ETRN
BFT,BFT
CNO,CNO
PHR,PHR
BIOb,BIO.B
NHI,NHI
AMRC.K,AMRC
NOAH.K,NOAH
OFC,OFC
VNE,VNE
NUS,NUS
TDC,TDC
KMT,KMT
DAN,DAN
LXP,LXP
BXS,BXS
AWR,AWR
GDOT.K,GDOT
JKS,JKS
MCY,MCY
BIPC.K,BIPC
GHC,GHC
BSTZ.K,BSTZ
FSKR.K,FSKR
AGO,AGO
WRI,WRI
ONTO.K,ONTO
APLE.K,APLE
JOE,JOE
ARNC.K,ARNC
ACA,ACA
