RNR_pf,RNR$F
CUB,CUB
AMRC.K,AMRC
WFC_pq,WFC$Q
FSK,FSK
FCPT.K,FCPT
KTB,KTB
TDS,TDS
KAR,KAR
JPS,JPS
SRE_pa,SRE$A
FLOW.K,FLOW
SJW,SJW
MED,MED
CTB,CTB
EAF,EAF
HGV,HGV
T_pc,T$C
FSS,FSS
BTT,BTT
MKCv,MKC.V
EPRT.K,EPRT
WFC_pz,WFC$Z
EPR,EPR
AVNS.K,AVNS
JWa,JW.A
SWN,SWN
NEE_po,NEE$O
BGS,BGS
HKIB.K,HKIB
FBC,FBC
WGO,WGO
SIX,SIX
ADX,ADX
USNA.K,USNA
IAG,IAG
TEX,TEX
KFY,KFY
VNE,VNE
SOLN.K,SOLN
TAC,TAC
DEA,DEA
CLNY.K,CLNY
CDE,CDE
CUK,CUK
EGHT.K,EGHT
SEAS.K,SEAS
C_pk,C$K
AIN,AIN
MWA,MWA
EURN.K,EURN
PBH,PBH
PHR,PHR
NOAH.K,NOAH
MSGE.K,MSGE
MLI,MLI
GSBD.K,GSBD
IGT,IGT
FIX,FIX
EBRb,EBR.B
PCGU.K,PCGU
GDV,GDV
PEB,PEB
MAXR.K,MAXR
EVA,EVA
AMK,AMK
AVAL.K,AVAL
GHC,GHC
PNC_pp,PNC$P
PQG,PQG
PTY,PTY
PDI,PDI
TRQ,TRQ
ETY,ETY
BDXB.K,BDXB
CPK,CPK
SAH,SAH
DSL,DSL
BFT,BFT
SHO,SHO
LZB,LZB
AX,AX
GCP,GCP
JHI,JHI
ONTO.K,ONTO
AVTR_pa.K,AVTR$A
OI,OI
HP,HP
FLR,FLR
SAVE.K,SAVE
SKY,SKY
PMT,PMT
OIBRc.K,OIBR.C
COF_pi,COF$I
BDN,BDN
EPC,EPC
KRO,KRO
HSBC_pa.K,HSBC$A
CALX.K,CALX
ELY,ELY
BCC,BCC
PIPR.K,PIPR
AVYA.K,AVYA
BFT_u,BFT.U
LTHM.K,LTHM
JOE,JOE
PDM,PDM
JPM_pg,JPM$G
VGR,VGR
VERT_u.K,VERT.U
BAC_pb,BAC$B
GAB,GAB
DCUE.K,DCUE
BBN,BBN
HNI,HNI
MSC,MSC
ELP,ELP
CHX,CHX
WRE,WRE
YELP.K,YELP
SAND.K,SAND
HMN,HMN
BAK,BAK
TUP,TUP
ALG,ALG
FUN,FUN
BDC,BDC
FTAI.K,FTAI
BAC_pm,BAC$M
GHG,GHG
CADE.K,CADE
KN,KN
JMIA.K,JMIA
RQI,RQI
HOME.K,HOME
TWO,TWO
MNR,MNR
CCS,CCS
EVT,EVT
GB,GB
FBP,FBP
BAC_pn,BAC$N
TY,TY
RVLV.K,RVLV
AZUL.K,AZUL
NWN,NWN
PRO,PRO
APTV_pa.K,APTV$A
RCUS.K,RCUS
BEST.K,BEST
FBK,FBK
NTB,NTB
AMRX.K,AMRX
MYOV.K,MYOV
SITC.K,SITC
BDJ,BDJ
ITCB.K,ITCB
RLJ,RLJ
FPF,FPF
BRMK.K,BRMK
CSTM.K,CSTM
BTZ,BTZ
HYT,HYT
KEN,KEN
WPF,WPF
KAI,KAI
GS_pd,GS$D
UFS,UFS
VSTO.K,VSTO
RVT,RVT
GNL,GNL
PBI,PBI
LTC,LTC
HTGC.K,HTGC
BSM,BSM
ABR,ABR
AAT,AAT
FTV_pa,FTV$A
WHD,WHD
BV,BV
MHO,MHO
WSOb,WSO.B
HRI,HRI
PGRE.K,PGRE
CRC,CRC
AZRE.K,AZRE
SIG,SIG
ENLC.K,ENLC
SA,SA
T_pa,T$A
MFA,MFA
HEP,HEP
SCS,SCS
USA,USA
ARGO.K,ARGO
CRK,CRK
REZI.K,REZI
WMK,WMK
ATGE.K,ATGE
ETV,ETV
COF_pj,COF$J
ALL_ph,ALL$H
CBZ,CBZ
YPF,YPF
GFF,GFF
